Graph Size,Runtime (milliseconds)
26,53.021333
27,53.803834
28,49.464001
29,53.140998
30,48.376958
31,50.816914
32,72.930332
33,76.431452
34,79.710783
35,80.940179
36,78.518209
37,86.64146
38,83.636319
39,79.506915
40,87.872017
41,82.876307
42,87.406845
43,86.861858
44,82.447836
45,82.563077
46,86.058929
47,87.508323
48,92.51412
49,96.404204
50,94.839648
51,88.648364
52,92.270374
53,87.236227
54,88.841681
55,91.451375
56,88.949143
57,87.563052
58,92.069951
59,88.587952
60,89.113029
61,92.371724
62,92.458386
63,91.792016
64,94.723572
65,94.590495
66,91.074559
67,93.30565
68,92.669027
69,94.614505
70,106.042989
71,104.221804
72,193.518522
73,183.340772
74,192.619852
75,190.712361
76,185.814403
77,186.130559
78,189.996436
79,185.834379
80,186.659567
81,186.416427
82,188.307019
83,220.274798
84,223.067048
85,224.423915
86,223.421449
87,231.646889
88,232.363347
89,232.58514
90,230.401314
91,228.677334
92,234.741274
93,232.421449
94,235.286212
95,231.258266
96,239.516549
97,230.22129
98,238.788138
99,245.159281
100,235.543258
101,236.985549
102,237.344523
103,265.860707
104,273.618081
105,260.471136
106,268.165585
107,259.126991
108,265.216651
109,253.946151
110,255.272847
111,255.626958
112,259.412977
113,258.593083
114,258.707678
115,262.461082
116,276.843657
117,282.585545
118,286.104425
119,294.740054
120,282.976939
121,275.266936
122,274.887866
123,279.898052
124,275.523821
125,282.798397
126,290.88762
127,286.829277
128,286.853318
129,290.558058
130,293.618834
131,284.030163
132,285.911271
133,302.891061
134,289.37189
135,282.951814
136,294.000824
137,290.311291
138,298.005024
139,294.137384
140,314.83608
141,313.130676
142,308.081794
143,297.786495
144,296.602155
145,306.076298
146,317.692542
147,304.386407
148,301.988455
149,310.068861
150,308.540623
151,312.133108
152,315.047504
153,309.355793
154,303.720667
155,310.206581
156,315.671345
157,314.917046
158,302.641067
159,316.523382
160,309.116611
161,319.130847
162,312.590635
163,317.370015
164,311.480542
165,327.506519
166,325.203345
167,316.25276
168,328.304104
169,335.920296
170,318.117117
171,331.037518
172,331.247851
173,329.148197
174,339.315735
175,347.754865
176,333.630873
177,344.017304
178,345.242982
179,334.138437
180,346.983987
181,334.789435
182,325.955098
183,329.835268
184,347.753974
185,345.307845
186,349.2488
187,346.017035
188,343.87914
189,345.628548
190,344.764326
191,338.169913
192,359.767102
193,362.129696
194,354.952485
195,359.350931
196,357.816338
197,369.1327
198,359.521816
199,371.995475
200,351.074965
201,356.061741
202,349.710698
203,377.507932
204,356.838659
205,371.790479
206,365.908407
207,354.33961
208,367.98651
209,371.155964
210,368.722914
211,371.065294
212,368.686261
213,369.939165
214,364.754208
215,363.348949
216,375.502845
217,385.472239
218,378.633323
219,367.55883
220,402.807932
221,378.541111
222,378.478091
223,387.259705
224,389.4935
225,382.737234
226,377.955346
227,406.14614
228,403.051486
229,405.360393
230,408.07351
231,397.80542
232,401.695551
233,407.581359
234,410.058783
235,417.985341
236,401.248522
237,419.193726
238,410.130363
239,397.194591
240,406.174011
241,412.711216
242,415.188943
243,401.13635
244,408.494926
245,414.190633
246,420.350287
247,415.66115
248,424.225593
249,432.857488
250,427.237856
251,434.765657
252,423.465391
253,443.272835
254,431.744559
255,438.316596
256,433.206089
257,436.32227
258,437.357431
259,424.507157
260,450.126527
261,433.735873
262,433.453334
263,466.670956
264,443.300181
265,447.551614
266,458.062013
267,454.231759
268,447.681562
269,447.7428
270,452.296942
271,472.050357
272,458.928201
273,462.030426
274,478.021945
275,454.072118
276,453.933665
277,480.253274
278,463.25903
279,469.906626
280,468.612014
281,457.839078
282,468.825472
283,481.68058
284,476.95316
285,475.24043
286,489.128239
287,509.869726
288,474.035023
289,484.293919
290,493.640317
291,485.683116
292,509.596952
293,483.699933
294,491.654579
295,485.138667
296,504.573265
297,481.492668
298,494.451137
299,498.789729
300,509.054449
301,512.325364
302,517.81129
303,504.163985
304,509.62467
305,520.056237
306,519.581782
307,498.029274
308,516.30919
309,535.354533
310,558.9857
311,527.50652
312,535.539147
313,541.617996
314,545.977762
315,554.223928
316,555.221896
317,542.383969
318,544.46687
319,541.451865
320,569.699545
321,550.626706
322,557.999375
323,560.362698
324,551.066841
325,577.46112
326,556.313593
327,563.113631
328,568.30154
329,563.547162
330,574.115803
331,575.075295
332,576.760875
333,571.321746
334,573.902404
335,596.994795
336,567.968659
337,595.399456
338,588.657932
339,603.421027
340,600.220514
341,604.659172
342,585.147706
343,599.449374
344,600.120903
345,636.805475
346,606.793063
347,609.623141
348,602.630281
349,611.768346
350,627.014562
351,611.920376
352,615.270084
353,621.213398
354,630.167019
355,625.860597
356,649.351469
357,651.551732
358,647.215507
359,648.858315
360,635.478164
361,673.139822
362,686.646065
363,679.252268
364,698.824917
365,708.506132
366,699.142448
367,701.152963
368,694.361314
369,704.698699
370,697.483097
371,711.821447
372,705.685355
373,714.408311
374,710.840941
375,712.58506
376,714.679026
377,723.196049
378,738.99288
379,730.740963
380,714.066817
381,739.013869
382,734.264271
383,731.306964
384,756.955226
385,739.013601
386,737.544791
387,759.772729
388,759.880816
389,774.831351
390,754.664121
391,750.117532
392,754.616479
393,748.018879
394,745.450289
395,762.013473
396,786.17135
397,762.257332
398,761.38747
399,813.182319
400,773.118417
401,785.011768
402,814.921435
403,798.040222
404,818.737812
405,801.795688
406,810.946633
407,814.325543
408,797.955603
409,834.713765
410,834.245866
411,847.347842
412,841.576799
413,834.341008
414,845.545692
415,846.019718
416,825.361892
417,851.735677
418,849.970487
419,864.788989
420,846.04492
421,867.350459
422,880.6017
423,866.409583
424,874.91167
425,872.222564
426,870.338469
427,886.721867
428,875.780592
429,888.66247
430,874.835649
431,896.557281
432,900.196006
433,900.059363
434,918.697448
435,896.877039
436,923.278043
437,910.284588
438,916.281508
439,922.782786
440,909.247731
441,902.125245
442,920.799865
443,931.684715
444,925.320262
445,937.76134
446,925.140087
447,925.488268
448,931.633321
449,953.370946
450,971.829329
451,958.38737
452,961.767171
453,954.041851
454,966.863852
455,961.758181
456,967.590755
457,973.835284
458,994.791577
459,984.285503
460,1008.613984
461,1005.553225
462,994.061765
463,1012.753523
464,1009.81991
465,1010.689867
466,1007.638478
467,1010.606063
468,1012.326266
469,1015.493757
470,1029.110112
471,1039.930235
472,1024.47567
473,1037.696909
474,1044.366365
475,1038.296199
476,1041.761101
477,1051.46283
478,1050.195318
479,1072.469156
480,1063.279248
481,1103.130313
482,1076.405777
483,1085.024409
484,1087.823826
485,1072.50498
486,1098.400644
487,1137.252418
488,1103.430751
489,1113.971889
490,1115.844972
491,1122.058084
492,1115.459813
493,1112.15502
494,1144.064772
495,1127.257938
496,1142.576985
497,1138.414814
498,1155.644216
499,1142.865742
500,1149.80264
501,1156.19544
502,1142.068179
503,1160.244282
504,1158.874099
505,1163.477717
506,1168.05991
507,1160.725836
508,1165.186697
509,1187.535885
510,1180.18374
511,1183.485509
512,1197.251644
513,1184.683014
514,1194.751542
515,1214.025358
516,1214.91417
517,1228.408672
518,1232.276767
519,1208.851962
520,1212.263914
521,1213.666951
522,1239.55396
523,1248.177477
524,1244.498214
525,1268.770853
526,1258.888878
527,1240.062971
528,1258.787713
529,1276.420593
530,1270.586006
531,1250.884108
532,1265.829984
533,1278.166641
534,1303.551273
535,1287.616368
536,1290.733438
537,1307.017255
538,1296.248113
539,1314.397603
540,1333.537949
541,1326.343655
542,1334.724714
543,1349.193908
544,1336.943059
545,1332.398111
546,1379.003095
547,1393.611772
548,1441.769026
549,1426.773647
550,1379.944751
551,1376.873055
552,1374.079104
553,1390.707384
554,1402.713476
555,1393.612257
556,1393.924179
557,1409.755754
558,1383.974686
559,1404.507154
560,1409.898355
561,1430.159163
562,1422.502044
563,1452.598954
564,1422.688679
565,1442.975171
566,1446.47141
567,1462.20924
568,1459.204351
569,1438.19896
570,1495.431997
571,1511.616991
572,1481.271152
573,1510.989053
574,1519.504057
575,1523.781421
576,1518.63829
577,1530.89026
578,1541.485022
579,1543.48285
580,1556.151898
581,1546.495559
582,1534.014801
583,1546.724774
584,1544.64977
585,1570.791104
586,1553.78315
587,1577.69526
588,1572.126758
589,1592.421177
590,1603.723511
591,1586.219281
592,1590.572958
593,1591.548573
594,1606.346557
595,1613.2296
596,1614.069324
597,1601.406939
598,1639.135976
599,1623.581576
600,1654.059955
601,1630.89881
602,1655.565013
603,1663.580859
604,1646.514014
605,1651.458839
606,1694.675751
607,1669.145647
608,1681.245491
609,1693.90164
610,1681.338298
611,1694.331708
612,1694.560069
613,1726.087385
614,1715.311745
615,1696.440068
616,1734.808615
617,1723.331103
618,1766.566825
619,1734.629272
620,1735.368936
621,1737.43031
622,1774.465433
623,1763.882575
624,1767.526155
625,1788.888908
626,1753.971501
627,1790.954417
628,1791.415687
629,1796.714082
630,1823.981039
631,1812.274345
632,1796.860071
633,1803.394393
634,1839.931212
635,1831.877336
636,1831.225541
637,1830.871828
638,1856.339182
639,1854.349068
640,1868.909841
641,1852.7479
642,1857.643915
643,1885.192054
644,1887.411379
645,1886.183442
646,1893.831001
647,1893.052317
648,1885.007598
649,1917.121622
650,1888.645664
651,1907.652643
652,1938.075115
653,1925.267372
654,1934.292015
655,1923.9291
656,1953.591571
657,1956.921194
658,1977.629802
659,1945.764787
660,1961.589665
661,1966.554366
662,1980.897868
663,1971.845508
664,2003.351094
665,1996.570636
666,2009.471745
667,1999.167293
668,2040.285255
669,2002.95451
670,2025.680278
671,2057.016912
672,2027.010701
673,2047.596935
674,2048.060525
675,2049.221977
676,2084.400325
677,2086.787271
678,2081.852888
679,2061.908805
680,2070.62333
681,2074.756746
682,2116.018591
683,2128.863408
684,2148.505398
685,2125.400246
686,2150.358779
687,2124.5152
688,2129.833244
689,2142.013634
690,2185.586039
691,2188.642594
692,2172.266107
693,2161.75026
694,2190.550437
695,2171.277795
696,2221.370429
697,2192.487724
698,2182.956202
699,2248.342305
700,2229.503425
701,2230.837493
702,2211.28584
703,2244.356463
704,2258.866476
705,2239.101047
706,2256.001908
707,2267.252857
708,2272.099543
709,2273.057506
710,2262.247819
711,2285.904015
712,2291.210304
